|tweet_id|tweet_text|compound|negative|neutral|positive
0|16617221|RT @OutsideComicCon: Happy to be bridging @SiliconHBO &amp; #SVCC with this #PrizeMoose drop! Get this Pied Piper shirt now in the conventio\u2026 |0.4389|0.08|0.767|0.153
1|3164788032|"""Erlich: We're trending up "|0.0|0.0|1.0|0.0
2|13588362|Nueva serie favorita.\n\n#siliconValley #hbo #series https://t.co/ffub8CfDKv |0.0|0.0|1.0|0.0
3|945854930|Sharing one of my fav scenes before the new season arrives https://t.co/oVL0Bm8t1c |0.7003|0.0|0.633|0.367
4|472275571|RT @lyricstothego: Sharing one of my fav scenes before the new season arrives https://t.co/oVL0Bm8t1c |0.7003|0.0|0.674|0.326
5|973635391|"""\U0001f44b Hey @G2Crowd "|0.0|0.0|1.0|0.0
6|257509781|"""If you're looking for work in MO "|0.0|0.0|1.0|0.0
7|138039964|Just started watching @SiliconHBO why didn't anyone tell me about this show earlier\U0001f481\u200d\u2642\ufe0f I'm in love with this! #SiliconValley |0.6696|0.0|0.8|0.2
8|497067921|"""Wearing my #Hooli shirt this today in my own tiny """"celebration"""" that S4 of @SiliconHBO premieres tomorrow night! #SiliconValley #HBO"" "|0.0|0.0|1.0|0.0
9|3164788032|I'm not a woman engineer. I'm an engineer. #SiliconValley https://t.co/Rwt7euHUUq |0.0|0.0|1.0|0.0
10|3164788032|"""Jared: I simply imagine that my skeleton is me "|0.0|0.0|1.0|0.0
11|3164788032|"""Have any of you ever eaten at """"Burger King""""? #S01E03 #SiliconValley https://t.co/Zud1B8yzQe"" "|0.0|0.0|1.0|0.0
12|17581126|Hooli shit #SiliconValley |-0.5574|0.643|0.357|0.0
13|368865847|Can't wait!!!!!\U0001f917#siliconvalley https://t.co/Cpi8dlDjJu |0.0|0.0|1.0|0.0
14|32403983|Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 https://t.co/lun9Y2Y3il |-0.4588|0.136|0.864|0.0
15|35203319|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
16|60980215|"""RT @EW: 12 hints about season 4 of #SiliconValley involving needles "|0.0|0.0|1.0|0.0
17|2463402292|RT @blackhawkinc: Time for these obnoxious megalomaniacs from Silico Valley be humbled and come down to reality.... They are for a ru\u2026 |-0.4588|0.13|0.87|0.0
18|16617221|RT @OutsideComicCon: Happy to be bridging @SiliconHBO &amp; #SVCC with this #PrizeMoose drop! Get this Pied Piper shirt now in the conventio\u2026 |0.4389|0.08|0.767|0.153
19|3164788032|"""Erlich: We're trending up "|0.0|0.0|1.0|0.0
